sample_id;replicate;replicate_count;repeated_sample;batch;file_type;file_name;file_description;file_MD5;adjustment;content;header;annotation;configuration_file
ASAP193_PD_NP22-55_PUT_bulk;NA;1;NA;1;FASTQ;ASAP193_PD_NP22-55_PUT_bulk_R2.fastq.gz;Raw reads;50ce1c74eab553d37f7b4665ca4b3b35;raw;Reads;;;
ASAP194_PD_NP22-55_SN_bulk;NA;1;NA;1;FASTQ;ASAP194_PD_NP22-55_SN_bulk_R1.fastq.gz;Raw reads;04f9d599fbb5a6b2b90e7be1177f38ab;raw;Reads;;;
ASAP194_PD_NP22-55_SN_bulk;NA;1;NA;1;FASTQ;ASAP194_PD_NP22-55_SN_bulk_R2.fastq.gz;Raw reads;81549cce9cea2a745c47168352818f5a;raw;Reads;;;
ASAP195_PD_NP22-55_AMY_bulk;NA;1;NA;1;FASTQ;ASAP195_PD_NP22-55_AMY_bulk_R1.fastq.gz;Raw reads;377b5d840dbe0d8cea664213821df8c8;raw;Reads;;;
ASAP195_PD_NP22-55_AMY_bulk;NA;1;NA;1;FASTQ;ASAP195_PD_NP22-55_AMY_bulk_R2.fastq.gz;Raw reads;59ee41ad38e9562440e8514e4ea93fc6;raw;Reads;;;
ASAP196_PD_NP16-285_AMY_bulk;NA;1;NA;1;FASTQ;ASAP196_PD_NP16-285_AMY_bulk_R1.fastq.gz;Raw reads;10cce558a1a861743e4a81dd2aeb2b63;raw;Reads;;;
ASAP196_PD_NP16-285_AMY_bulk;NA;1;NA;1;FASTQ;ASAP196_PD_NP16-285_AMY_bulk_R2.fastq.gz;Raw reads;8c6ee4afe633bd83d995a99f7e64fa72;raw;Reads;;;
ASAP199_ctrl_NP19-218_AMY_bulk;NA;1;NA;1;FASTQ;ASAP199_ctrl_NP19-218_AMY_bulk_R1.fastq.gz;Raw reads;7ea04905b351a9d2e2ac96d2c0224c62;raw;Reads;;;
ASAP199_ctrl_NP19-218_AMY_bulk;NA;1;NA;1;FASTQ;ASAP199_ctrl_NP19-218_AMY_bulk_R2.fastq.gz;Raw reads;e7c0bc22a84e52c46f26e0563fd5d262;raw;Reads;;;
ASAP200_ctrl_NP22-37_AMY_bulk;NA;1;NA;1;FASTQ;ASAP200_ctrl_NP22-37_AMY_bulk_R1.fastq.gz;Raw reads;aef1e7268b5b84a4e40447b5c144a12d;raw;Reads;;;
ASAP200_ctrl_NP22-37_AMY_bulk;NA;1;NA;1;FASTQ;ASAP200_ctrl_NP22-37_AMY_bulk_R2.fastq.gz;Raw reads;8372026dc111f1bfd8520884caab8f0a;raw;Reads;;;
ASAP201_ctrl_NP22-75_AMY_bulk;NA;1;NA;1;FASTQ;ASAP201_ctrl_NP22-75_AMY_bulk_R1.fastq.gz;Raw reads;4db29f9c291dd79caf5a7eee5e6bac31;raw;Reads;;;
ASAP201_ctrl_NP22-75_AMY_bulk;NA;1;NA;1;FASTQ;ASAP201_ctrl_NP22-75_AMY_bulk_R2.fastq.gz;Raw reads;5a34da59fdd1a7699509740528c178c8;raw;Reads;;;
ASAP202_PD_NP19-137_AMY_bulk;NA;1;NA;1;FASTQ;ASAP202_PD_NP19-137_AMY_bulk_R1.fastq.gz;Raw reads;0a327376ac8ba028a9786bb6e05431c4;raw;Reads;;;
ASAP202_PD_NP19-137_AMY_bulk;NA;1;NA;1;FASTQ;ASAP202_PD_NP19-137_AMY_bulk_R2.fastq.gz;Raw reads;ef2abac9e4a1302132596e5c2768f0ac;raw;Reads;;;
ASAP203_ctrl_NP19-218_SN_bulk;NA;1;NA;1;FASTQ;ASAP203_ctrl_NP19-218_SN_bulk_R1.fastq.gz;Raw reads;6cc055652d3f9cc2004adf63960474e3;raw;Reads;;;
ASAP203_ctrl_NP19-218_SN_bulk;NA;1;NA;1;FASTQ;ASAP203_ctrl_NP19-218_SN_bulk_R2.fastq.gz;Raw reads;0af3b70a122ed7c41911894e4b1fe8c2;raw;Reads;;;
ASAP204_PD_NP21-04_AMY_bulk;NA;1;NA;1;FASTQ;ASAP204_PD_NP21-04_AMY_bulk_R1.fastq.gz;Raw reads;1a0ad63920ee29693a6209eb1ad888af;raw;Reads;;;
ASAP204_PD_NP21-04_AMY_bulk;NA;1;NA;1;FASTQ;ASAP204_PD_NP21-04_AMY_bulk_R2.fastq.gz;Raw reads;4ac339a04d8749bf0659d4238a876cbe;raw;Reads;;;
ASAP206_ctrl_NP22-75_SN_bulk;NA;1;NA;1;FASTQ;ASAP206_ctrl_NP22-75_SN_bulk_R1.fastq.gz;Raw reads;62e95c717928d10f2b0296d00f246eab;raw;Reads;;;
ASAP206_ctrl_NP22-75_SN_bulk;NA;1;NA;1;FASTQ;ASAP206_ctrl_NP22-75_SN_bulk_R2.fastq.gz;Raw reads;f7ea0f0ed159a8a206c653a2b205a4f4;raw;Reads;;;
ASAP207_PD_NP23-21_AMY_bulk;NA;1;NA;1;FASTQ;ASAP207_PD_NP23-21_AMY_bulk_R1.fastq.gz;Raw reads;cdc968333a1e080e087c59bdfb5d37a3;raw;Reads;;;
ASAP207_PD_NP23-21_AMY_bulk;NA;1;NA;1;FASTQ;ASAP207_PD_NP23-21_AMY_bulk_R2.fastq.gz;Raw reads;db94e29b292d196f20f92b688964ee75;raw;Reads;;;
ASAP208_PD_NP16-285_SN_bulk;NA;1;NA;1;FASTQ;ASAP208_PD_NP16-285_SN_bulk_R1.fastq.gz;Raw reads;28810e269b3ff41f6cee3fd5417edea0;raw;Reads;;;
ASAP208_PD_NP16-285_SN_bulk;NA;1;NA;1;FASTQ;ASAP208_PD_NP16-285_SN_bulk_R2.fastq.gz;Raw reads;16a63a51e1d2ac499424ca0afe86cadb;raw;Reads;;;
ASAP209_PD_NP17-232_SN_bulk;NA;1;NA;1;FASTQ;ASAP209_PD_NP17-232_SN_bulk_R1.fastq.gz;Raw reads;7b21f76cb967989c8d43a150ecf4fa32;raw;Reads;;;
ASAP209_PD_NP17-232_SN_bulk;NA;1;NA;1;FASTQ;ASAP209_PD_NP17-232_SN_bulk_R2.fastq.gz;Raw reads;a29db643229085cf43efa30b38f19f75;raw;Reads;;;
ASAP210_PD_NP19-91_SN_bulk;NA;1;NA;1;FASTQ;ASAP210_PD_NP19-91_SN_bulk_R1.fastq.gz;Raw reads;da57c6a449db185ef887bb27829d24d0;raw;Reads;;;
ASAP210_PD_NP19-91_SN_bulk;NA;1;NA;1;FASTQ;ASAP210_PD_NP19-91_SN_bulk_R2.fastq.gz;Raw reads;0c56aea8f4cbaae9ee985397ee26dde1;raw;Reads;;;
ASAP211_PD_NP19-137_SN_bulk;NA;1;NA;1;FASTQ;ASAP211_PD_NP19-137_SN_bulk_R1.fastq.gz;Raw reads;d71a728b2da4fd19ac119008642e9d23;raw;Reads;;;
ASAP211_PD_NP19-137_SN_bulk;NA;1;NA;1;FASTQ;ASAP211_PD_NP19-137_SN_bulk_R2.fastq.gz;Raw reads;14cb4ce938d692c2d8acf41604aeed42;raw;Reads;;;
ASAP212_PD_NP21-04_SN_bulk;NA;1;NA;1;FASTQ;ASAP212_PD_NP21-04_SN_bulk_R1.fastq.gz;Raw reads;c72b01d9906c060cf7b6f33ee4a40c55;raw;Reads;;;
ASAP212_PD_NP21-04_SN_bulk;NA;1;NA;1;FASTQ;ASAP212_PD_NP21-04_SN_bulk_R2.fastq.gz;Raw reads;5a7c62431c8ff16c53bc3dc748fdee40;raw;Reads;;;
ASAP214_PD_NP16-285_PUT_bulk;NA;1;NA;1;FASTQ;ASAP214_PD_NP16-285_PUT_bulk_R1.fastq.gz;Raw reads;f9f2dc96e340f585d3e9a2e1154636e8;raw;Reads;;;
ASAP214_PD_NP16-285_PUT_bulk;NA;1;NA;1;FASTQ;ASAP214_PD_NP16-285_PUT_bulk_R2.fastq.gz;Raw reads;a5bc4b63eed5c05debc25a78e6b20b54;raw;Reads;;;
ASAP215_PD_NP17-232_PUT_bulk;NA;1;NA;1;FASTQ;ASAP215_PD_NP17-232_PUT_bulk_R1.fastq.gz;Raw reads;a84ac209d3b4e6bb97b00b277a7db63d;raw;Reads;;;
ASAP215_PD_NP17-232_PUT_bulk;NA;1;NA;1;FASTQ;ASAP215_PD_NP17-232_PUT_bulk_R2.fastq.gz;Raw reads;5a0d7dbacfed4562b3844a3a90ce9d31;raw;Reads;;;
